Player,Nation,From,To,Price
Wesley Moraes,Brazil,Aston Villa,Stoke City,0.0
Calvin Bassey,Nigeria,Ajax,Fulham,22.5
Riyad Mahrez,Algeria,Man City,Al Ahli,35.0
Fynn Talley,England,Brighton,Peterborough,0.0
Christos Kalogerakis,Greece,Chelsea,Anderlecht,0.0
Sami Tlemcani,Morocco,Chelsea,AEK,0.0
Jordan Henderson,England,Liverpool,Al-Ettifaq,14.0
Mohamed Elyounoussi,Norway,Southampton,Kobenhavn,0.0
Igor,Brazil,Fiorentina,Brighton,16.2
Adedire Mebude,Scotland,Man City,Westerlo,1.8
Matt Hall,England,Southampton,Bristol Rovers,0.0
Sam Surridge,England,Nottingham,Nashville SC,5.8
Raúl Jiménez,Mexico,Wolverhampton,Fulham,6.4
Luca Koleosho,Italy,Espanyol,Burnley,3.0
Anthony Elanga,Sweden,Man Utd,Nottingham,17.5
Taylor Perry,England,Wolverhampton,Shrewsbury Town,0.0
Carlos Mendes,Guinea-Bissau,Luton,Bolton Wanderers,0.3
Wilfried Zaha,Cote d'Ivoire,C. Palace,Galatasaray,0.0
Harvey Barnes,England,Leicester,Newcastle Utd.,44.0
Alex Telles,Brazil,Man Utd,Al-Nassr,4.6
Bobby Thomas,England,Burnley,Coventry,2.3
Moussa Diaby,France,Bayer 04,Aston Villa,55.0
Ola Aina,Nigeria,Torino,Nottingham,0.0
Reda Khadra,Germany,Brighton,Reims,1.9
Joe Pigott,England,Ipswich Town,Leyton Orient,0.0
Laurence Shala,Kosovo,C. Palace,Wycombe,0.0
Nathan Redmond,England,Besiktas,Burnley,0.0
Pierre-Emerick Aubameyang,Gabon,Chelsea,Marseille,0.0
Daniel Amartey,Ghana,Leicester,Besiktas,0.0
Harley Curtis,England,Ipswich Town,Chesterfield,0.0
Björn Hardley,Netherlands,Man Utd,Utrecht,0.0
Matt Doherty,Ireland,Atlético,Wolverhampton,0.0
James Trafford,England,Man City,Burnley,17.3
André Onana,Cameroon,Inter,Man Utd,50.2
Marvelous Nakamba,Zimbabwe,Aston Villa,Luton,2.9
Milos Kerkez,Hungary,AZ,B'mouth,17.9
Zeki Amdouni,Switzerland,Basel,Burnley,18.6
Ethan Ampadu,Wales,Chelsea,Leeds United,8.1
Benjamin Mendy,France,Man City,Lorient,0.0
Bénie Traoré,Cote d'Ivoire,Hacken,Sheff Utd,4.6
Jonny Evans,Northern Ireland,Leicester,Man Utd,0.0
Mads Hermansen,Denmark,Brondby,Leicester,7.7
Asmir Begovic,Bosnia-Herzegovina,Everton,QPR,0.0
Mads Bidstrup,Denmark,Brentford,RB Salzburg,6.0
Thanawat Suengchitthawon,Thailand,Leicester,Muangthong (SCG) United,0.0
Mipo Odubeko,Ireland,West Ham United,Maritimo,0.0
Matthew Healy,Ireland,Ipswich Town,Boussu,0.0
Iwan Roberts,Wales,Liverpool,Bala,0.0
Dion Sanderson,England,Wolverhampton,Birmingham City,2.3
Halil Dervişoğlu,Netherlands,Brentford,Galatasaray,0.5
Declan Rice,England,West Ham United,Arsenal,116.6
Jack Bearne,England,Liverpool,Greenock,0.0
Deji Sotona,Ireland,Burnley,Doncaster Rovers,0.0
Yangel Herrera,Spain,Man City,Girona,5.0
Jurrien Timber,Netherlands,Ajax,Arsenal,40.0
Tahith Chong,Netherlands,Birmingham City,Luton,4.7
Nathan James,Thailand,Burnley,Barnsley,0.0
Joel Valencia,Ecuador,Brentford,Zaglebie,0.0
Ben Wilson,Northern Ireland,Brighton,Cliftonville,0.0
Kane Vincent-Young,Grenada,Ipswich Town,Wycombe,0.0
Anis Slimane,Tunisia,Brondby,Sheff Utd,2.7
George Hirst,England,Leicester,Ipswich Town,1.8
Romain Faivre,France,Lyon,B'mouth,15.0
Christian Pulišić,United States,Chelsea,Milan,20.0
Ashley Young,England,Aston Villa,Everton,0.0
Jordan Smith,England,Nottingham,Stockport,0.0
Josh Swan,England,Luton,Newport Pagnell Town FC,0.0
Pau Torres,Spain,Villarreal,Aston Villa,33.0
Shea Charles,Northern Ireland,Man City,Southampton,12.3
Junior Dixon,England,C. Palace,Birmingham City,0.0
Ryan Manning,Ireland,Swansea,Southampton,0.0
Manor Solomon,Israel,Shakhtar D.,Tottenham,0.0
Abdul Rahman Baba,Ghana,Chelsea,PAOK,0.0
Ishé Samuels-Smith,England,Everton,Chelsea,4.7
Ben Pearson,England,B'mouth,Stoke City,1.5
Neeskens Kebano,Congo DR,Fulham,Al-Jazira,0.0
Cafú,Portugal,Nottingham,Rotherham,0.0
Lorent Tolaj,Switzerland,Brighton,Aldershot Town,0.0
Charlie Wilson,England,Everton,Norwich,0.0
Ryan Bartley,England,C. Palace,Derby,0.0
Morgan Rogers,England,Man City,Middlesbrough,1.2
Ellis Simms,England,Everton,Coventry,7.0
Hayao Kawabe,Japan,Wolverhampton,Standard,1.5
Sonny Bradley,England,Luton,Derby,0.0
Pontus Jansson,Sweden,Brentford,Malmo,0.0
Elijah Gift,Spain,Liverpool,Athletic,0.8
Freddie Cook,England,Leicester,Cardiff City,0.0
Josh McNamara,England,Man City,Southampton,0.0
César Azpilicueta,Spain,Chelsea,Atlético,0.0
Granit Xhaka,Switzerland,Arsenal,Bayer 04,15.0
Ayoze Pérez,Spain,Leicester,Real Betis,0.0
Mason Mount,England,Chelsea,Man Utd,64.2
Çağlar Söyüncü,Turkey,Leicester,Atlético,0.0
Enda Stevens,Ireland,Sheff Utd,Stoke City,0.0
Derrick Abu,England,Chelsea,Southampton,0.0
Maliq Cadogan,England,C. Palace,Swansea,0.0
Alex Gilbert,Ireland,Brentford,Middlesbrough,0.0
Roberto Firmino,Brazil,Liverpool,Al Ahli,0.0
Nathan Collins,Ireland,Wolverhampton,Brentford,26.9
Richard Keogh,Ireland,Ipswich Town,Wycombe,0.0
Bart Verbruggen,Netherlands,Anderlecht,Brighton,20.0
Rico Richards,England,West Bromwich,Aston Villa,0.0
Sandro Tonali,Italy,Milan,Newcastle Utd.,64.0
Lewis Gibson,England,Everton,Plymouth,0.0
Theo Williams,England,Sheff Utd,Fleetwood,0.0
Dominik Szoboszlai,Hungary,RB Leipzig,Liverpool,70.0
Teodor Minchev,Bulgaria,Arsenal,Swansea,0.0
Manni Norkett,England,Man Utd,Nottingham,0.0
Isaac Westendorf,England,Newcastle Utd.,Larne,0.0
Ronny Nelson,England,Leicester,Colchester,0.0
Tarik Gidaree,England,B'mouth,Harrow Borough FC,0.0
Osa Solomon,Ireland,Nottingham,Grantham Town,0.0
João Pedro,Brazil,Watford,Brighton,34.2
Mahmoud Dahoud,Syria,Dortmund,Brighton,0.0
James Milner,England,Liverpool,Brighton,0.0
Alexis Mac Allister,Argentina,Brighton,Liverpool,42.0
Haydon Roberts,England,Brighton,Bristol City,0.0
Jack Spong,England,Brighton,Queen's,0.0
Teddy Jenks,England,Brighton,Forest,0.0
Antef Tsoungui,Belgium,Brighton,Feyenoord,0.0
Josh Lane,England,Aston Villa,Robert Morris Colonials (Robert Morris University),0.0
Matheus Cunha,Brazil,Atlético,Wolverhampton,50.0
Nahuel Bustos,Argentina,Man City,Talleres,0.0
Harry Wright,England,Everton,Fleetwood,0.0
Rekeem Harper,England,Ipswich Town,Burton Albion,0.0
Finlay Armstrong,England,Burnley,Fleetwood,0.0
Harry Winks,England,Tottenham,Leicester,11.6
Conor Coady,England,Wolverhampton,Leicester,8.7
Diego Manuel Jadon da Silva Moreira,Portugal,Benfica,Chelsea,0.0
Joe Bryan,England,Fulham,Millwall,0.0
Ethan Laird,England,Man Utd,Birmingham City,0.9
Nicolas Jackson,Senegal,Villarreal,Chelsea,37.0
Ruben Loftus-Cheek,England,Chelsea,Milan,18.5
Ethan Galbraith,Northern Ireland,Man Utd,Leyton Orient,0.0
Karl Daley,England,Leicester,Leighton Town,0.0
Romaine Mundle,England,Tottenham,Standard,0.0
Kai Havertz ,Germany,Chelsea,Arsenal,75.0
James Maddison,England,Leicester,Tottenham,46.3
Edouard Mendy,Senegal,Chelsea,Al Ahli,18.5
Mislav Orsic,Croatia,Southampton,Trabzonspor,2.4
Jack Turner,England,Southampton,Queen's,0.0
Chiedozie Ogbene,Ireland,Rotherham,Luton,0.0
Guglielmo Vicario,Italy,Empoli,Tottenham,18.5
Mateo Kovacic,Croatia,Chelsea,Man City,29.1
Harry Isted,England,Luton,Charlton Athletic,0.0
Zidane Iqbal,Iraq,Man Utd,Utrecht,1.0
Ethan Wady,United States,Chelsea,Millwall,0.0
Dan Nlundulu,England,Southampton,Bolton Wanderers,0.0
İlkay Gündoğan,Germany,Man City,Barcelona,0.0
Kalidou Koulibaly,Senegal,Chelsea,Al-Hilal,23.0
Lewis Thomas,England,Burnley,Harrogate,0.0
Dara O'Shea,Ireland,West Bromwich,Burnley,7.8
Justin Kluivert,Netherlands,Roma,B'mouth,10.8
Rúben Neves,Portugal,Wolverhampton,Al-Hilal,55.0
Nathan Baxter,England,Chelsea,Bolton Wanderers,0.0
